1064,English for Speakers of Other Langs 1,﻿English,1,5
1074,English for Speakers of Other Langs 2,﻿English,1,5
1124,English 1,﻿English,1,5
1134,English 1 PreAP,﻿English,1,6
1224,English 2,﻿English,1,5
1234,English 2 PreAP,﻿English,1,6
1324,English 3,﻿English,1,5
1344,English 3 AP (Lang and Comp),﻿English,1,5
1344IB,IB English 3,﻿English,1,6
1424,English 4,﻿English,1,5
1424D,English 4 Dual,﻿English,1,0
1444,English 4 AP (Lit and Comp),﻿English,1,5
1444IB,IB English 4,﻿English,1,6
1634,Creative Writing,﻿English,1,5
4124,Algebra 1,Math,1,5
4224,Geometry,Math,1,5
4234,Geometry PreAP,Math,1,6
4324,Algebra 2,Math,1,5
4334,Algebra 2 PreAP,Math,1,6
4344,College Prep Mathematics,Math,1,5
4354IB,IB Mathematical Studies,Math,1,6
4364IB,IB Mathematics Foundations,Math,1,6
4374IB,IB Mathematical SL,Math,1,6
4384IB,IB Mathematical HL,Math,1,6
4424,Mathematical Models with Applications,Math,1,5
4514,Algebraic Reasoning,Math,1,5
4534,PreCalculus PreAP,Math,1,6
4554,Calculus AB - AP,Math,1,6
4564,Statistics AP / Dual,Math,1,0
4574DNH,PreCalculus (Dual Credit),Math,1,0
4584,Calculus BC - AP,Math,1,6
4594,Statistics,Math,1,5
3124,Integrated Physics and Chemistry,Science,1,5
3224,Biology,Science,1,5
3234,Biology PreAP,Science,1,6
3324,Chemistry,Science,1,5
3334,Chemistry PreAP,Science,1,6
3344,Chemistry AP,Science,1,6
3344IB,IB Chemistry SL,Science,1,6
3354IB,IB Chemistry HL,Science,1,6
3424,Physics,Science,1,5
3454,Physics C: Mechanics AP,Science,1,6
3464,Physics 1 AP,Science,1,6
3464IB,IB Physics 1,Science,1,6
3474,Physics 2 AP,Science,1,6
3474IB,IB Physics 2,Science,1,6
3534,Biology AP,Science,1,6
3534IB,IB Biology SL,Science,1,6
3544IB,IB Biology HL,Science,1,6
3624,Environmental Systems,Science,1,5
3644,Aquatic Science,Science,1,5
3654NH,Anatomy/Physiology,Science,1,5
3664NH,Forensic Science,Science,1,5
3674,Astronomy,Science,1,5
3684,Earth and Space Science,Science,1,5
8124,Food Science,Science,1,5
8484,Plant & Soil Science: Adv.Floral Design,Science,1,5
8514,Adv. Animal Science,Science,1,5
2124,World Geography,Social Studies,1,5
2144,Human Geography AP,Social Studies,1,6
2224,World History,Social Studies,1,5
2244,World History AP,Social Studies,1,6
2324,U. S. History,Social Studies,1,5
2324IB,IB History of the Americas,Social Studies,1,6
2334,U. S. History AP,Social Studies,1,6
2334DNH,U. S. History - Dual Credit,Social Studies,1,0
2354IB,IB History of the 20th Century,Social Studies,1,6
2422,United States Government,Social Studies,1/2,5
2432,U. S. Government - AP,Social Studies,1/2,6
2522,Economics,Social Studies,1/2,5
2532,Macroeconomics AP,Social Studies,1/2,6
2622,Psychology,Social Studies,1/2,5
2722,Sociology,Social Studies,1/2,5
2824,Psychology AP,Social Studies,1,6
2824IB,IB  Psychology SL,Social Studies,1,6
2834IB,IB  Psychology HL,Social Studies,1,6
2834IB,IB Theory of Knowledge,Social Studies,1,6
1484,Spanish for Native Speakers AP,Foreign Language,1,6
1494,Spanish for Native Speakers 1 & 2,Foreign Language,2,5
1504,Spanish 1,Foreign Language,1,5
1514,Spanish 2,Foreign Language,1,5
1514Q,Spanish 2 PreAP,Foreign Language,1,6
1524,Spanish 3 PreAP/IB,Foreign Language,1,5
1534,Spanish 4 AP (Span. Lang. & Comp.),Foreign Language,1,5
1534IB,IB Spanish Ab Initio 1,Foreign Language,1,6
1534IB,IB Spanish IV,Foreign Language,1,6
1544,Spanish 5 AP (Span. Lit. & Comp.),Foreign Language,1,5
1544IB,IB Spanish Ab Initio 2,Foreign Language,1,6
1544IB,IB Spanish 5,Foreign Language,1,6
1554,French 1,Foreign Language,1,5
1564,French 2,Foreign Language,1,5
1564Q,PreAP French 2,Foreign Language,1,5
1574,French 3 PreAP/IB,Foreign Language,1,5
1584,French 4 AP,Foreign Language,1,6
1584IB,IB French 4,Foreign Language,1,6
1764IB,IB Visual Art 1,Fine Arts,1,6
1774IB,IB Visual Art 2,Fine Arts,1,6
5714,Honor Band 1,Fine Arts,1,5
5724,Honor Band 2,Fine Arts,1,5
5734,Honor Band 3,Fine Arts,1,5
5744,Honor Band 4,Fine Arts,1,5
5714D,Drumline 1,Fine Arts,1,5
5724D,Drumline 2,Fine Arts,1,5
5734D,Drumline 3,Fine Arts,1,5
5744D,Drumline 4,Fine Arts,1,5
5714JZ,Jazz Band 1,Fine Arts,1,5
5724JZ,Jazz Band 2,Fine Arts,1,5
5734JZ,Jazz Band 3,Fine Arts,1,5
5744JZ,Jazz Band 4,Fine Arts,1,5
5714P,Percussion 1,Fine Arts,1,5
